date,brand,category,score_0_100,score_1_10,phone_lcp,phone_inp,phone_cls
2026-03-15,Acne Studios,Maison,80.4,8.0,3224,255,0.176
2026-03-15,Celine,Maison,76.1,7.6,3223,412,0.16
2026-03-15,Givenchy,Maison,87.8,8.8,2678,177,0.068
2026-03-15,Louis Vuitton,Maison,84.5,8.4,3260,170,0.113
2026-04-15,Acne Studios,Maison,74.3,7.4,4145,300,0.175
2026-04-15,Celine,Maison,67.3,6.7,4764,325,0.218
2026-04-15,Givenchy,Maison,84.8,8.5,2743,333,0.04
2026-04-15,Louis Vuitton,Maison,78.9,7.9,3791,306,0.129
2026-05-15,Acne Studios,Maison,76.7,7.7,3369,247,0.199
2026-05-15,Celine,Maison,79.4,7.9,4688,173,0.07
2026-05-15,Givenchy,Maison,89.3,8.9,3196,161,0.034
2026-05-15,Louis Vuitton,Maison,76.1,7.6,2698,379,0.202
2026-06-15,Acne Studios,Maison,74.8,7.5,3395,373,0.203
2026-06-15,Celine,Maison,78.5,7.8,3167,279,0.176
2026-06-15,Givenchy,Maison,81.1,8.1,3740,297,0.087
2026-06-15,Louis Vuitton,Maison,70.8,7.1,4738,174,0.196
2026-07-15,Acne Studios,Maison,78.4,7.8,4117,223,0.146
2026-07-15,Celine,Maison,86.2,8.6,2686,323,0.097
2026-07-15,Givenchy,Maison,72.7,7.3,4012,256,0.218
2026-07-15,Louis Vuitton,Maison,71.4,7.1,4577,353,0.152
2026-08-15,Acne Studios,Maison,76.6,7.7,3887,218,0.187
2026-08-15,Celine,Maison,78.6,7.9,4019,331,0.085
2026-08-15,Givenchy,Maison,73.5,7.3,4029,358,0.099
2026-08-15,Louis Vuitton,Maison,75.8,7.6,3474,353,0.134
2026-09-15,Acne Studios,Maison,77.8,7.8,4137,218,0.082
2026-09-15,Celine,Maison,81.6,8.2,3371,180,0.064
2026-09-15,Givenchy,Maison,80.2,8.0,3055,241,0.156
2026-09-15,Louis Vuitton,Maison,81.2,8.1,2932,231,0.145
2026-10-15,Acne Studios,Maison,78.2,7.8,4271,221,0.118
2026-10-15,Celine,Maison,81.9,8.2,3075,311,0.118
2026-10-15,Givenchy,Maison,77.7,7.8,4529,221,0.058
2026-10-15,Louis Vuitton,Maison,84.9,8.5,2701,367,0.09
2026-11-15,Acne Studios,Maison,70.8,7.1,4088,324,0.162
2026-11-15,Celine,Maison,75.6,7.6,3885,184,0.199
2026-11-15,Givenchy,Maison,80.7,8.1,2698,290,0.218
